16
>> Train dataset :  data/KsponSpeech/KsponSpeech_train.json
>> Test dataset :  ['data/KsponSpeech/KsponSpeech_eval_clean.json']
Seq2Seq(
  (encoder): EncoderRNN(
    (conv): MaskConv(
      (seq_module): Sequential(
        (0): Conv2d(1, 32, kernel_size=(41, 11), stride=(2, 2), padding=(20, 5))
        (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (2): Hardtanh(min_val=0, max_val=20, inplace=True)
        (3): Conv2d(32, 32, kernel_size=(21, 11), stride=(2, 1), padding=(10, 5))
        (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (5): Hardtanh(min_val=0, max_val=20, inplace=True)
      )
    )
    (rnn): LSTM(1312, 512, num_layers=3, dropout=0.3, bidirectional=True)
  )
  (decoder): DecoderRNN(
    (rnn): LSTM(1536, 512, num_layers=2, batch_first=True, dropout=0.3)
    (embedding): Embedding(2003, 512)
    (input_dropout): Dropout(p=0.3, inplace=False)
    (attention): Attention(
      (conv): Conv1d(1, 512, kernel_size=(3,), stride=(1,), padding=(1,))
      (W): Linear(in_features=512, out_features=512, bias=False)
      (V): Linear(in_features=1024, out_features=512, bias=False)
      (fc): Linear(in_features=512, out_features=1, bias=True)
      (tanh): Tanh()
      (softmax): Softmax(dim=-1)
    )
    (fc): Linear(in_features=1536, out_features=2003, bias=True)
  )
)
Number of parameters: 31523060
Epoch: [1][170/38750]	Loss 1.2557	Cer 283.3887
Epoch: [1][171/38750]	Loss 0.9119	Cer 412.0141
Epoch: [1][172/38750]	Loss 1.4569	Cer 222.8774
Epoch: [1][173/38750]	Loss 0.9980	Cer 399.3711
Epoch: [1][174/38750]	Loss 1.7919	Cer 212.3487
Epoch: [1][175/38750]	Loss 0.8541	Cer 440.4467
Epoch: [1][176/38750]	Loss 1.3444	Cer 325.3644
Epoch: [1][177/38750]	Loss 1.1497	Cer 339.3443
Epoch: [1][178/38750]	Loss 1.2520	Cer 353.2374
Epoch: [1][179/38750]	Loss 0.7540	Cer 652.9046
Epoch: [1][180/38750]	Loss 0.7448	Cer 624.0741
Epoch: [1][181/38750]	Loss 1.6248	Cer 260.0484
Epoch: [1][182/38750]	Loss 1.4847	Cer 253.9095
Epoch: [1][183/38750]	Loss 0.7031	Cer 733.9506
Epoch: [1][184/38750]	Loss 1.4175	Cer 266.8394
Epoch: [1][185/38750]	Loss 1.4818	Cer 280.6522
Epoch: [1][186/38750]	Loss 1.4293	Cer 258.0556
Epoch: [1][187/38750]	Loss 1.7213	Cer 199.7319
Epoch: [1][188/38750]	Loss 0.7649	Cer 413.4576
Epoch: [1][189/38750]	Loss 1.5334	Cer 238.1313
Epoch: [1][190/38750]	Loss 1.5905	Cer 251.7520
Epoch: [1][191/38750]	Loss 0.7541	Cer 468.3511
Epoch: [1][192/38750]	Loss 1.7550	Cer 193.0091
Epoch: [1][193/38750]	Loss 1.7652	Cer 168.8963
Epoch: [1][194/38750]	Loss 1.1790	Cer 254.8495
Epoch: [1][195/38750]	Loss 1.3211	Cer 256.7696
Epoch: [1][196/38750]	Loss 0.9582	Cer 246.5368
Epoch: [1][197/38750]	Loss 1.3706	Cer 200.2342
Epoch: [1][198/38750]	Loss 1.6821	Cer 195.3390
Epoch: [1][199/38750]	Loss 1.8131	Cer 169.0402
Epoch: [1][200/38750]	Loss 1.1774	Cer 287.0253
Epoch: [1][201/38750]	Loss 1.0952	Cer 306.9418
Epoch: [1][202/38750]	Loss 1.6691	Cer 222.2222
Epoch: [1][203/38750]	Loss 0.8091	Cer 537.6623
Epoch: [1][204/38750]	Loss 1.2870	Cer 344.3645
Epoch: [1][205/38750]	Loss 0.7920	Cer 587.3016
Epoch: [1][206/38750]	Loss 1.2215	Cer 341.2338
Epoch: [1][207/38750]	Loss 1.4663	Cer 233.4232
Epoch: [1][208/38750]	Loss 1.4786	Cer 262.0397
Epoch: [1][209/38750]	Loss 1.4808	Cer 141.8605
Epoch: [1][210/38750]	Loss 1.6744	Cer 173.5023
Epoch: [1][211/38750]	Loss 1.0772	Cer 315.0794
Epoch: [1][212/38750]	Loss 1.7995	Cer 192.6346
Epoch: [1][213/38750]	Loss 1.9721	Cer 156.2771
Epoch: [1][214/38750]	Loss 2.0688	Cer 131.6860
Epoch: [1][215/38750]	Loss 1.0475	Cer 304.6512
Epoch: [1][216/38750]	Loss 1.1438	Cer 183.8596
Epoch: [1][217/38750]	Loss 0.8820	Cer 257.3826
Epoch: [1][218/38750]	Loss 1.5920	Cer 219.1304
Epoch: [1][219/38750]	Loss 1.0780	Cer 239.1137
Epoch: [1][220/38750]	Loss 1.6937	Cer 198.6207
Epoch: [1][221/38750]	Loss 1.1910	Cer 192.1569
Epoch: [1][222/38750]	Loss 1.2214	Cer 249.8507
Epoch: [1][223/38750]	Loss 1.3213	Cer 263.2107
